Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Glsp90,Shp90,SoTp90,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FKp90,PKp90,PKattp90,xGp90,npxGp90,npxG/Sh,G-xGp90,np:G-xGp90,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0.11,0.93,0.18,19.2,0.93,0.18,0.08,0.40,0.11,0.04,0.04,0.08,0.06,0.06,0.03,0.01,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,0.00,0.39,0.11,28.6,0.39,0.11,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,0.11,0.68,0.18,26.3,0.68,0.18,0.16,0.60,0.00,0.00,0.00,0.05,0.05,0.07,0.06,0.06,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,0.59,3.53,1.76,50.0,3.44,1.72,0.17,0.33,0.00,0.00,0.00,0.76,0.76,0.21,-0.18,-0.18,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,0.05,1.63,0.35,21.2,1.63,0.35,0.03,0.14,0.15,0.00,0.00,0.08,0.08,0.05,-0.03,-0.03,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,0.00,0.72,0.00,0.0,0.72,0.00,0.00,,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,0.11,0.37,0.21,57.1,0.37,0.21,0.29,0.50,0.00,0.00,0.00,0.07,0.07,0.20,0.03,0.03,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,0.61,3.58,1.42,39.8,3.58,1.42,0.17,0.43,0.00,0.00,0.00,0.59,0.59,0.17,0.02,0.02,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,0.00,0.68,0.27,40.0,0.68,0.27,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,0.06,0.48,0.20,41.2,0.48,0.20,0.12,0.29,0.00,0.00,0.00,0.06,0.06,0.12,0.00,0.00,Matches
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,0.33,3.01,0.73,24.3,3.00,0.73,0.11,0.44,0.00,0.00,0.00,0.34,0.34,0.11,-0.02,-0.02,Matches
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,10.6,0.00,0.66,0.09,14.3,0.66,0.09,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,Matches
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,0.60,2.41,1.20,50.0,2.41,1.21,0.25,0.50,0.00,0.00,0.00,0.49,0.49,0.20,0.11,0.11,Matches
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,0.48,2.38,1.90,80.0,2.39,1.91,0.20,0.25,0.00,0.00,0.00,0.81,0.81,0.34,-0.33,-0.33,Matches
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0.00,1.15,0.38,33.3,1.17,0.39,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.18,-0.23,-0.23,Matches
